dong_code,city,gu,dong,x,y
1111051500,서울특별시,종로구,청운효자동,37.584009,126.970626
1111053000,서울특별시,종로구,사직동,37.575408,126.965944
1111054000,서울특별시,종로구,삼청동,37.590758,126.980996
1111055000,서울특별시,종로구,부암동,37.594768,126.965574
1111056000,서울특별시,종로구,평창동,37.613029,126.974485
1111057000,서울특별시,종로구,무악동,37.57711,126.958562
1111058000,서울특별시,종로구,교남동,37.568547,126.964454
1111060000,서울특별시,종로구,가회동,37.582682,126.984831
1111061500,서울특별시,종로구,종로1.2.3.4가동,37.570962,126.977881
1111063000,서울특별시,종로구,종로5.6가동,37.573681,127.009292
1111064000,서울특별시,종로구,이화동,37.577245,127.005622
1111065000,서울특별시,종로구,혜화동,37.587817,127.001745
1111067000,서울특별시,종로구,창신제1동,37.573172,126.97922
1111068000,서울특별시,종로구,창신제2동,37.573172,126.97922
1111069000,서울특별시,종로구,창신제3동,37.573172,126.97922
1111070000,서울특별시,종로구,숭인제1동,37.573172,126.97922
1111071000,서울특별시,종로구,숭인제2동,37.573172,126.97922
1114052000,서울특별시,중구,소공동,37.564079,126.980046
1114054000,서울특별시,중구,회현동,37.557288,126.979369
1114055000,서울특별시,중구,명동,37.560029,126.985806
1114057000,서울특별시,중구,필동,37.560148,126.995572
1114058000,서울특별시,중구,장충동,37.561919,127.007818
1114059000,서울특별시,중구,광희동,37.564445,127.005023
1114060500,서울특별시,중구,을지로동,37.56669,126.991319
1114061500,서울특별시,중구,신당동,37.557913,127.013655
1114062500,서울특별시,중구,다산동,37.554398,127.008155
1114063500,서울특별시,중구,약수동,37.552459,127.008973
1114064500,서울특별시,중구,청구동,37.557074,127.014616
1114065000,서울특별시,중구,신당제5동,37.56376,126.997459
1114066500,서울특별시,중구,동화동,37.560042,127.019399
1114067000,서울특별시,중구,황학동,37.568542,127.020827
1114068000,서울특별시,중구,중림동,37.558842,126.96632
1117051000,서울특별시,용산구,후암동,37.549901,126.980613
1117052000,서울특별시,용산구,용산2가동,37.542884,126.985008
1117053000,서울특별시,용산구,남영동,37.542865,126.973353
1117055500,서울특별시,용산구,청파동,37.545502,126.969899
1117056000,서울특별시,용산구,원효로제1동,37.532612,126.990182
1117057000,서울특별시,용산구,원효로제2동,37.532612,126.990182
1117058000,서울특별시,용산구,효창동,37.542828,126.960951
1117059000,서울특별시,용산구,용문동,37.537663,126.959677
1117062500,서울특별시,용산구,한강로동,37.529054,126.969503
1117063000,서울특별시,용산구,이촌제1동,37.532612,126.990182
1117064000,서울특별시,용산구,이촌제2동,37.532612,126.990182
1117065000,서울특별시,용산구,이태원제1동,37.532612,126.990182
1117066000,서울특별시,용산구,이태원제2동,37.532612,126.990182
1117068500,서울특별시,용산구,한남동,37.537541,127.005165
1117069000,서울특별시,용산구,서빙고동,37.518619,126.991299
1117070000,서울특별시,용산구,보광동,37.526873,127.000917
1120052000,서울특별시,성동구,왕십리제2동,37.563386,127.037047
1120053500,서울특별시,성동구,왕십리도선동,37.56598,127.031444
1120054000,서울특별시,성동구,마장동,37.567363,127.040731
1120055000,서울특별시,성동구,사근동,37.558904,127.047597
1120056000,서울특별시,성동구,행당제1동,37.563386,127.037047
1120057000,서울특별시,성동구,행당제2동,37.563386,127.037047
1120058000,서울특별시,성동구,응봉동,37.550935,127.033903
1120059000,서울특별시,성동구,금호1가동,37.553509,127.023661
1120061500,서울특별시,성동구,금호2.3가동,37.549549,127.019842
1120062000,서울특별시,성동구,금호4가동,37.545404,127.024129
1120064500,서울특별시,성동구,옥수동,37.540788,127.020624
1120065000,서울특별시,성동구,성수1가제1동,37.543511,127.042746
1120066000,서울특별시,성동구,성수1가제2동,37.543511,127.042746
1120067000,서울특별시,성동구,성수2가제1동,37.540855,127.056517
1120069000,서울특별시,성동구,성수2가제3동,37.540855,127.056517
1120072000,서울특별시,성동구,송정동,37.553181,127.062066
1120079000,서울특별시,성동구,용답동,37.56147,127.056348
1121571000,서울특별시,광진구,화양동,37.54325,127.073393
1121573000,서울특별시,광진구,군자동,37.553038,127.073657
1121574000,서울특별시,광진구,중곡제1동,37.53821,127.082191
1121575000,서울특별시,광진구,중곡제2동,37.53821,127.082191
1121576000,서울특별시,광진구,중곡제3동,37.53821,127.082191
1121577000,서울특별시,광진구,중곡제4동,37.53821,127.082191
1121578000,서울특별시,광진구,능동,37.550578,127.081722
1121581000,서울특별시,광진구,광장동,37.547835,127.104695
1121582000,서울특별시,광진구,자양제1동,37.53821,127.082191
1121583000,서울특별시,광진구,자양제2동,37.53821,127.082191
1121584000,서울특별시,광진구,자양제3동,37.53821,127.082191
1121584700,서울특별시,광진구,자양제4동,37.53821,127.082191
1121585000,서울특별시,광진구,구의제1동,37.53821,127.082191
1121586000,서울특별시,광진구,구의제2동,37.53821,127.082191
1121587000,서울특별시,광진구,구의제3동,37.53821,127.082191
1123053600,서울특별시,동대문구,용신동,37.575868,127.037305
1123054500,서울특별시,동대문구,제기동,37.583778,127.037226
1123056000,서울특별시,동대문구,전농제1동,37.574428,127.039712
1123057000,서울특별시,동대문구,전농제2동,37.574428,127.039712
1123060000,서울특별시,동대문구,답십리제1동,37.57097,127.056703
1123061000,서울특별시,동대문구,답십리제2동,37.57097,127.056703
1123065000,서울특별시,동대문구,장안제1동,37.574428,127.039712
1123066000,서울특별시,동대문구,장안제2동,37.574428,127.039712
1123070500,서울특별시,동대문구,청량리동,37.588799,127.04528
1123071000,서울특별시,동대문구,회기동,37.593733,127.051434
1123072000,서울특별시,동대문구,휘경제1동,37.574428,127.039712
1123073000,서울특별시,동대문구,휘경제2동,37.574428,127.039712
1123074000,서울특별시,동대문구,이문제1동,37.574428,127.039712
1123075000,서울특별시,동대문구,이문제2동,37.574428,127.039712
1126052000,서울특별시,중랑구,면목제2동,37.606736,127.092924
1126054000,서울특별시,중랑구,면목제4동,37.606736,127.092924
1126055000,서울특별시,중랑구,면목제5동,37.606736,127.092924
1126056500,서울특별시,중랑구,면목본동,37.587331,127.087419
1126057000,서울특별시,중랑구,면목제7동,37.606736,127.092924
1126057500,서울특별시,중랑구,면목제3.8동,37.582921,127.088107
1126058000,서울특별시,중랑구,상봉제1동,37.606736,127.092924
1126059000,서울특별시,중랑구,상봉제2동,37.606736,127.092924
1126060000,서울특별시,중랑구,중화제1동,37.606736,127.092924
1126061000,서울특별시,중랑구,중화제2동,37.606736,127.092924
1126062000,서울특별시,중랑구,묵제1동,37.606736,127.092924
1126063000,서울특별시,중랑구,묵제2동,37.606736,127.092924
1126065500,서울특별시,중랑구,망우본동,37.601504,127.106215
1126066000,서울특별시,중랑구,망우제3동,37.606736,127.092924
1126068000,서울특별시,중랑구,신내1동,37.605867,127.099356
1126069000,서울특별시,중랑구,신내2동,37.606188,127.094222
1129052500,서울특별시,성북구,성북동,37.597248,126.992899
1129055500,서울특별시,성북구,삼선동,37.590836,127.01467
1129057500,서울특별시,성북구,동선동,37.593984,127.020426
1129058000,서울특별시,성북구,돈암제1동,37.58944,127.016817
1129059000,서울특별시,성북구,돈암제2동,37.58944,127.016817
1129060000,서울특별시,성북구,안암동,37.585892,127.021381
1129061000,서울특별시,성북구,보문동,37.58038,127.022857
1129062000,서울특별시,성북구,정릉제1동,37.58944,127.016817
1129063000,서울특별시,성북구,정릉제2동,37.58944,127.016817
1129064000,서울특별시,성북구,정릉제3동,37.58944,127.016817
1129065000,서울특별시,성북구,정릉제4동,37.58944,127.016817
1129066000,서울특별시,성북구,길음제1동,37.58944,127.016817
1129068500,서울특별시,성북구,길음제2동,37.58944,127.016817
1129070500,서울특별시,성북구,종암동,37.597176,127.033894
1129071500,서울특별시,성북구,월곡제1동,37.58944,127.016817
1129072500,서울특별시,성북구,월곡제2동,37.58944,127.016817
1129076000,서울특별시,성북구,장위제1동,37.58944,127.016817
1129077000,서울특별시,성북구,장위제2동,37.58944,127.016817
1129078000,서울특별시,성북구,장위제3동,37.58944,127.016817
1129081000,서울특별시,성북구,석관동,37.608265,127.061465
1130553400,서울특별시,강북구,삼양동,37.627368,127.0183
1130553500,서울특별시,강북구,미아동,37.621106,127.023865
1130554500,서울특별시,강북구,송중동,37.616062,127.033819
1130555500,서울특별시,강북구,송천동,37.618268,127.023845
1130557500,서울특별시,강북구,삼각산동,37.616702,127.017511
1130559500,서울특별시,강북구,번1동,37.637825,127.028802
1130560300,서울특별시,강북구,번2동,37.632572,127.038693
1130560800,서울특별시,강북구,번3동,37.625852,127.046619
1130561500,서울특별시,강북구,수유1동,37.630309,127.017684
1130562500,서울특별시,강북구,수유2동,37.644753,127.019941
1130563500,서울특별시,강북구,수유3동,37.638832,127.023089
1130564500,서울특별시,강북구,우이동,37.663286,127.000508
1130566000,서울특별시,강북구,인수동,37.641485,127.010591
1132051100,서울특별시,도봉구,창제1동,37.668639,127.047364
1132051200,서울특별시,도봉구,창제2동,37.668639,127.047364
1132051300,서울특별시,도봉구,창제3동,37.668639,127.047364
1132051400,서울특별시,도봉구,창제4동,37.668639,127.047364
1132051500,서울특별시,도봉구,창제5동,37.668639,127.047364
1132052100,서울특별시,도봉구,도봉제1동,37.668639,127.047364
1132052200,서울특별시,도봉구,도봉제2동,37.668639,127.047364
1132066000,서울특별시,도봉구,쌍문제1동,37.668639,127.047364
1132067000,서울특별시,도봉구,쌍문제2동,37.668639,127.047364
1132068000,서울특별시,도봉구,쌍문제3동,37.668639,127.047364
1132068100,서울특별시,도봉구,쌍문제4동,37.668639,127.047364
1132069000,서울특별시,도봉구,방학제1동,37.668639,127.047364
1132070000,서울특별시,도봉구,방학제2동,37.668639,127.047364
1132071000,서울특별시,도봉구,방학제3동,37.668639,127.047364
1135056000,서울특별시,노원구,월계1동,37.619919,127.062984
1135057000,서울특별시,노원구,월계2동,37.63251,127.051031
1135058000,서울특별시,노원구,월계3동,37.620949,127.069054
1135059500,서울특별시,노원구,공릉1동,37.624843,127.07382
1135060000,서울특별시,노원구,공릉2동,37.621268,127.083357
1135061100,서울특별시,노원구,하계1동,37.640485,127.072685
1135061200,서울특별시,노원구,하계2동,37.632123,127.068053
1135061900,서울특별시,노원구,중계본동,37.647853,127.080401
1135062100,서울특별시,노원구,중계1동,37.652551,127.077488
1135062400,서울특별시,노원구,중계4동,37.658763,127.077989
1135062500,서울특별시,노원구,중계2.3동,37.64204,127.068711
1135063000,서울특별시,노원구,상계1동,37.679855,127.05502
1135064000,서울특별시,노원구,상계2동,37.65886,127.068479
1135066500,서울특별시,노원구,상계3.4동,37.672624,127.08302
1135067000,서울특별시,노원구,상계5동,37.662994,127.06947
1135069500,서울특별시,노원구,상계6.7동,37.654919,127.066919
1135070000,서울특별시,노원구,상계8동,37.666726,127.051548
1135071000,서울특별시,노원구,상계9동,37.66449,127.063818
1135072000,서울특별시,노원구,상계10동,37.661245,127.060243
1138051000,서울특별시,은평구,녹번동,37.605314,126.934567
1138052000,서울특별시,은평구,불광제1동,37.602766,126.928839
1138053000,서울특별시,은평구,불광제2동,37.602766,126.928839
1138055100,서울특별시,은평구,갈현제1동,37.602766,126.928839
1138055200,서울특별시,은평구,갈현제2동,37.602766,126.928839
1138056000,서울특별시,은평구,구산동,37.611074,126.907302
1138057000,서울특별시,은평구,대조동,37.612256,126.923141
1138058000,서울특별시,은평구,응암제1동,37.602766,126.928839
1138059000,서울특별시,은평구,응암제2동,37.602766,126.928839
1138060000,서울특별시,은평구,응암제3동,37.602766,126.928839
1138062500,서울특별시,은평구,역촌동,37.604582,126.914611
1138063100,서울특별시,은평구,신사제1동,37.602766,126.928839
1138063200,서울특별시,은평구,신사제2동,37.602766,126.928839
1138064000,서울특별시,은평구,증산동,37.584166,126.905952
1138065000,서울특별시,은평구,수색동,37.585574,126.894529
1138069000,서울특별시,은평구,진관동,37.639681,126.937804
1141052000,서울특별시,서대문구,천연동,37.567945,126.959437
1141055500,서울특별시,서대문구,북아현동,37.562431,126.954397
1141056500,서울특별시,서대문구,충현동,37.56483,126.954715
1141058500,서울특별시,서대문구,신촌동,37.56555,126.941382
1141061500,서울특별시,서대문구,연희동,37.571987,126.932812
1141062000,서울특별시,서대문구,홍제제1동,37.579213,126.936773
1141064000,서울특별시,서대문구,홍제제3동,37.579213,126.936773
1141065500,서울특별시,서대문구,홍제제2동,37.579213,126.936773
1141066000,서울특별시,서대문구,홍은제1동,37.579213,126.936773
1141068500,서울특별시,서대문구,홍은제2동,37.579213,126.936773
1141069000,서울특별시,서대문구,남가좌제1동,37.579213,126.936773
1141070000,서울특별시,서대문구,남가좌제2동,37.579213,126.936773
1141071000,서울특별시,서대문구,북가좌제1동,37.579213,126.936773
1141072000,서울특별시,서대문구,북가좌제2동,37.579213,126.936773
1144055500,서울특별시,마포구,아현동,37.554474,126.956308
1144056500,서울특별시,마포구,공덕동,37.548092,126.954994
1144058500,서울특별시,마포구,도화동,37.539758,126.950007
1144059000,서울특별시,마포구,용강동,37.541502,126.940443
1144060000,서울특별시,마포구,대흥동,37.549807,126.943177
1144061000,서울특별시,마포구,염리동,37.549096,126.947307
1144063000,서울특별시,마포구,신수동,37.548524,126.936813
1144065500,서울특별시,마포구,서강동,37.54778,126.932218
1144066000,서울특별시,마포구,서교동,37.553838,126.918765
1144068000,서울특별시,마포구,합정동,37.547027,126.909029
1144069000,서울특별시,마포구,망원제1동,37.566404,126.901763
1144070000,서울특별시,마포구,망원제2동,37.566404,126.901763
1144071000,서울특별시,마포구,연남동,37.563027,126.921519
1144072000,서울특별시,마포구,성산제1동,37.566404,126.901763
1144073000,서울특별시,마포구,성산제2동,37.566404,126.901763
1144074000,서울특별시,마포구,상암동,37.570748,126.87984
1147051000,서울특별시,양천구,목1동,37.530433,126.870985
1147052000,서울특별시,양천구,목2동,37.546108,126.871631
1147053000,서울특별시,양천구,목3동,37.544858,126.864408
1147054000,서울특별시,양천구,목4동,37.532327,126.868343
1147055000,서울특별시,양천구,목5동,37.535136,126.87854
1147056000,서울특별시,양천구,신월1동,37.532815,126.83153
1147057000,서울특별시,양천구,신월2동,37.52497,126.844572
1147058000,서울특별시,양천구,신월3동,37.533674,126.82905
1147059000,서울특별시,양천구,신월4동,37.524619,126.840063
1147060000,서울특별시,양천구,신월5동,37.538566,126.827186
1147061000,서울특별시,양천구,신월6동,37.516265,126.843631
1147061100,서울특별시,양천구,신월7동,37.521756,126.834791
1147062000,서울특별시,양천구,신정1동,37.51855,126.854354
1147063000,서울특별시,양천구,신정2동,37.519267,126.870723
1147064000,서울특별시,양천구,신정3동,37.515086,126.854859
1147065000,서울특별시,양천구,신정4동,37.523422,126.85868
1147067000,서울특별시,양천구,신정6동,37.517053,126.864399
1147068000,서울특별시,양천구,신정7동,37.514412,126.8597
1150051000,서울특별시,강서구,염창동,37.554552,126.871764
1150052000,서울특별시,강서구,등촌제1동,37.550968,126.849614
1150053000,서울특별시,강서구,등촌제2동,37.550968,126.849614
1150053500,서울특별시,강서구,등촌제3동,37.550968,126.849614
1150054000,서울특별시,강서구,화곡제1동,37.550968,126.849614
1150055000,서울특별시,강서구,화곡제2동,37.550968,126.849614
1150056000,서울특별시,강서구,화곡제3동,37.550968,126.849614
1150057000,서울특별시,강서구,화곡제4동,37.550968,126.849614
1150059000,서울특별시,강서구,화곡본동,37.544092,126.847626
1150059100,서울특별시,강서구,화곡제6동,37.550968,126.849614
1150059300,서울특별시,강서구,화곡제8동,37.550968,126.849614
1150060300,서울특별시,강서구,가양제1동,37.550968,126.849614
1150060400,서울특별시,강서구,가양제2동,37.550968,126.849614
1150060500,서울특별시,강서구,가양제3동,37.550968,126.849614
1150061100,서울특별시,강서구,발산제1동,37.550968,126.849614
1150061500,서울특별시,강서구,우장산동,37.548198,126.841792
1150062000,서울특별시,강서구,공항동,37.554779,126.810453
1150063000,서울특별시,강서구,방화제1동,37.550968,126.849614
1150064000,서울특별시,강서구,방화제2동,37.550968,126.849614
1150064100,서울특별시,강서구,방화제3동,37.550968,126.849614
1153051000,서울특별시,구로구,신도림동,37.509951,126.882174
1153052000,서울특별시,구로구,구로제1동,37.49565,126.887771
1153053000,서울특별시,구로구,구로제2동,37.49565,126.887771
1153054000,서울특별시,구로구,구로제3동,37.49565,126.887771
1153055000,서울특별시,구로구,구로제4동,37.49565,126.887771
1153056000,서울특별시,구로구,구로제5동,37.49565,126.887771
1153059500,서울특별시,구로구,가리봉동,37.482704,126.888019
1153072000,서울특별시,구로구,고척제1동,37.49565,126.887771
1153073000,서울특별시,구로구,고척제2동,37.49565,126.887771
1153074000,서울특별시,구로구,개봉제1동,37.49565,126.887771
1153075000,서울특별시,구로구,개봉제2동,37.49565,126.887771
1153076000,서울특별시,구로구,개봉제3동,37.49565,126.887771
1153077000,서울특별시,구로구,오류제1동,37.49565,126.887771
1153078000,서울특별시,구로구,오류제2동,37.49565,126.887771
1153079000,서울특별시,구로구,수궁동,37.493837,126.831527
1154551000,서울특별시,금천구,가산동,37.476681,126.883767
1154561000,서울특별시,금천구,독산제1동,37.456979,126.895656
1154562000,서울특별시,금천구,독산제2동,37.456979,126.895656
1154563000,서울특별시,금천구,독산제3동,37.456979,126.895656
1154564000,서울특별시,금천구,독산제4동,37.456979,126.895656
1154567000,서울특별시,금천구,시흥제1동,37.456979,126.895656
1154568000,서울특별시,금천구,시흥제2동,37.456979,126.895656
1154569000,서울특별시,금천구,시흥제3동,37.456979,126.895656
1154570000,서울특별시,금천구,시흥제4동,37.456979,126.895656
1154571000,서울특별시,금천구,시흥제5동,37.456979,126.895656
1156051500,서울특별시,영등포구,영등포본동,37.514692,126.909387
1156053500,서울특별시,영등포구,영등포동,37.513786,126.906901
1156054000,서울특별시,영등포구,여의동,37.517598,126.934571
1156055000,서울특별시,영등포구,당산제1동,37.52641,126.896252
1156056000,서울특별시,영등포구,당산제2동,37.52641,126.896252
1156058500,서울특별시,영등포구,도림동,37.509105,126.900533
1156060500,서울특별시,영등포구,문래동,37.517141,126.899454
1156061000,서울특별시,영등포구,양평제1동,37.52641,126.896252
1156062000,서울특별시,영등포구,양평제2동,37.52641,126.896252
1156063000,서울특별시,영등포구,신길제1동,37.52641,126.896252
1156065000,서울특별시,영등포구,신길제3동,37.52641,126.896252
1156066000,서울특별시,영등포구,신길제4동,37.52641,126.896252
1156067000,서울특별시,영등포구,신길제5동,37.52641,126.896252
1156068000,서울특별시,영등포구,신길제6동,37.52641,126.896252
1156069000,서울특별시,영등포구,신길제7동,37.52641,126.896252
1156070000,서울특별시,영등포구,대림제1동,37.52641,126.896252
1156071000,서울특별시,영등포구,대림제2동,37.52641,126.896252
1156072000,서울특별시,영등포구,대림제3동,37.52641,126.896252
1159051000,서울특별시,동작구,노량진제1동,37.512462,126.939485
1159052000,서울특별시,동작구,노량진제2동,37.512462,126.939485
1159053000,서울특별시,동작구,상도제1동,37.512462,126.939485
1159054000,서울특별시,동작구,상도제2동,37.512462,126.939485
1159055000,서울특별시,동작구,상도제3동,37.512462,126.939485
1159056000,서울특별시,동작구,상도제4동,37.512462,126.939485
1159060500,서울특별시,동작구,흑석동,37.505492,126.962317
1159062000,서울특별시,동작구,사당제1동,37.512462,126.939485
1159063000,서울특별시,동작구,사당제2동,37.512462,126.939485
1159064000,서울특별시,동작구,사당제3동,37.512462,126.939485
1159065000,서울특별시,동작구,사당제4동,37.512462,126.939485
1159065100,서울특별시,동작구,사당제5동,37.512462,126.939485
1159066000,서울특별시,동작구,대방동,37.506879,126.927994
1159067000,서울특별시,동작구,신대방제1동,37.512462,126.939485
1159068000,서울특별시,동작구,신대방제2동,37.512462,126.939485
1162052500,서울특별시,관악구,보라매동,37.488208,126.932761
1162054500,서울특별시,관악구,청림동,37.491928,126.958841
1162056500,서울특별시,관악구,성현동,37.489708,126.948322
1162057500,서울특별시,관악구,행운동,37.480738,126.95695
1162058500,서울특별시,관악구,낙성대동,37.476281,126.958369
1162059500,서울특별시,관악구,청룡동,37.479143,126.941675
1162060500,서울특별시,관악구,은천동,37.485376,126.942503
1162061500,서울특별시,관악구,중앙동,37.484016,126.949645
1162062500,서울특별시,관악구,인헌동,37.475126,126.965259
1162063000,서울특별시,관악구,남현동,37.464115,126.977754
1162064500,서울특별시,관악구,서원동,37.479662,126.931311
1162065500,서울특별시,관악구,신원동,37.481698,126.927268
1162066500,서울특별시,관악구,서림동,37.475037,126.934972
1162068500,서울특별시,관악구,신사동,37.485479,126.918044
1162069500,서울특별시,관악구,신림동,37.463204,126.935795
1162071500,서울특별시,관악구,난향동,37.461554,126.918807
1162072500,서울특별시,관악구,조원동,37.482592,126.907808
1162073500,서울특별시,관악구,대학동,37.470593,126.936855
1162074500,서울특별시,관악구,삼성동,37.470135,126.933007
1162076500,서울특별시,관악구,미성동,37.476348,126.915677
1162077500,서울특별시,관악구,난곡동,37.471024,126.921689
1165051000,서울특별시,서초구,서초1동,37.490077,127.019534
1165052000,서울특별시,서초구,서초2동,37.492051,127.025083
1165053000,서울특별시,서초구,서초3동,37.483594,127.012518
1165053100,서울특별시,서초구,서초4동,37.502624,127.022175
1165054000,서울특별시,서초구,잠원동,37.515102,127.009083
1165055000,서울특별시,서초구,반포본동,37.50049,126.986012
1165056000,서울특별시,서초구,반포1동,37.505136,127.013354
1165057000,서울특별시,서초구,반포2동,37.504644,126.994495
1165058000,서울특별시,서초구,반포3동,37.512027,127.005572
1165058100,서울특별시,서초구,반포4동,37.498651,126.995469
1165059000,서울특별시,서초구,방배본동,37.494151,126.988688
1165060000,서울특별시,서초구,방배1동,37.483406,126.994486
1165061000,서울특별시,서초구,방배2동,37.479887,126.985499
1165062000,서울특별시,서초구,방배3동,37.480255,126.999028
1165062100,서울특별시,서초구,방배4동,37.489624,126.991383
1165065100,서울특별시,서초구,양재1동,37.471701,127.02675
1165065200,서울특별시,서초구,양재2동,37.47062,127.041076
1165066000,서울특별시,서초구,내곡동,37.458154,127.076727
1168051000,서울특별시,강남구,신사동,37.523807,127.026492
1168052100,서울특별시,강남구,논현1동,37.511498,127.028552
1168053100,서울특별시,강남구,논현2동,37.517353,127.037164
1168054500,서울특별시,강남구,압구정동,37.530734,127.028461
1168056500,서울특별시,강남구,청담동,37.524399,127.050457
1168058000,서울특별시,강남구,삼성1동,37.514315,127.062824
1168059000,서울특별시,강남구,삼성2동,37.511399,127.046255
1168060000,서울특별시,강남구,대치1동,37.493236,127.056687
1168061000,서울특별시,강남구,대치2동,37.502252,127.064162
1168063000,서울특별시,강남구,대치4동,37.49975,127.057747
1168064000,서울특별시,강남구,역삼1동,37.495361,127.033058
1168065000,서울특별시,강남구,역삼2동,37.49604,127.04679
1168065500,서울특별시,강남구,도곡1동,37.490945,127.038475
1168065600,서울특별시,강남구,도곡2동,37.483818,127.046346
1168066000,서울특별시,강남구,개포1동,37.481925,127.057439
1168067000,서울특별시,강남구,개포2동,37.489766,127.069056
1168069000,서울특별시,강남구,개포4동,37.478833,127.051599
1168070000,서울특별시,강남구,세곡동,37.464369,127.104583
1168072000,서울특별시,강남구,일원본동,37.48336,127.08648
1168073000,서울특별시,강남구,일원1동,37.491887,127.087982
1168074000,서울특별시,강남구,일원2동,37.492172,127.073696
1168075000,서울특별시,강남구,수서동,37.485881,127.096706
1171051000,서울특별시,송파구,풍납1동,37.538055,127.122215
1171052000,서울특별시,송파구,풍납2동,37.528779,127.116814
1171053100,서울특별시,송파구,거여1동,37.496923,127.143302
1171053200,서울특별시,송파구,거여2동,37.493534,127.146891
1171054000,서울특별시,송파구,마천1동,37.496025,127.149894
1171055000,서울특별시,송파구,마천2동,37.49688,127.148538
1171056100,서울특별시,송파구,방이1동,37.511009,127.123923
1171056200,서울특별시,송파구,방이2동,37.514596,127.114379
1171056600,서울특별시,송파구,오륜동,37.515538,127.134424
1171057000,서울특별시,송파구,오금동,37.50401,127.134003
1171058000,서울특별시,송파구,송파1동,37.50609,127.109571
1171059000,서울특별시,송파구,송파2동,37.502323,127.116741
1171060000,서울특별시,송파구,석촌동,37.50273,127.102497
1171061000,서울특별시,송파구,삼전동,37.501901,127.091876
1171062000,서울특별시,송파구,가락본동,37.495585,127.12183
1171063100,서울특별시,송파구,가락1동,37.496537,127.105726
1171063200,서울특별시,송파구,가락2동,37.498639,127.126488
1171064100,서울특별시,송파구,문정1동,37.490024,127.124055
1171064200,서울특별시,송파구,문정2동,37.48989,127.110917
1171064600,서울특별시,송파구,장지동,37.477368,127.131914
1171064700,서울특별시,송파구,위례동,37.481576,127.140424
1171065000,서울특별시,송파구,잠실본동,37.506167,127.084325
1171067000,서울특별시,송파구,잠실2동,37.511956,127.088281
1171068000,서울특별시,송파구,잠실3동,37.513354,127.094316
1171069000,서울특별시,송파구,잠실4동,37.520419,127.112285
1171071000,서울특별시,송파구,잠실6동,37.518133,127.100683
1171072000,서울특별시,송파구,잠실7동,37.508661,127.07709
1174051500,서울특별시,강동구,강일동,37.567438,127.173364
1174052000,서울특별시,강동구,상일동,37.550583,127.168797
1174053000,서울특별시,강동구,명일제1동,37.53012,127.123858
1174054000,서울특별시,강동구,명일제2동,37.53012,127.123858
1174055000,서울특별시,강동구,고덕제1동,37.53012,127.123858
1174056000,서울특별시,강동구,고덕제2동,37.53012,127.123858
1174057000,서울특별시,강동구,암사제1동,37.53012,127.123858
1174058000,서울특별시,강동구,암사제2동,37.53012,127.123858
1174059000,서울특별시,강동구,암사제3동,37.53012,127.123858
1174060000,서울특별시,강동구,천호제1동,37.53012,127.123858
1174061000,서울특별시,강동구,천호제2동,37.53012,127.123858
1174062000,서울특별시,강동구,천호제3동,37.53012,127.123858
1174064000,서울특별시,강동구,성내제1동,37.53012,127.123858
1174065000,서울특별시,강동구,성내제2동,37.53012,127.123858
1174066000,서울특별시,강동구,성내제3동,37.53012,127.123858
1174068500,서울특별시,강동구,길동,37.539616,127.145914
1174069000,서울특별시,강동구,둔촌제1동,37.53012,127.123858
1174070000,서울특별시,강동구,둔촌제2동,37.53012,127.123858
